ca_num,ca_name,retail_count
1,ROGERS PARK,6.0
2,WEST RIDGE,5.0
3,UPTOWN,8.0
4,LINCOLN SQUARE,5.0
5,NORTH CENTER,8.0
6,LAKE VIEW,8.0
7,LINCOLN PARK,16.0
8,NEAR NORTH SIDE,28.0
9,EDISON PARK,9.0
10,NORWOOD PARK,3.0
11,JEFFERSON PARK,4.0
12,FOREST GLEN,4.0
13,NORTH PARK,2.0
14,ALBANY PARK,14.0
15,PORTAGE PARK,9.0
16,IRVING PARK,7.0
17,DUNNING,2.0
18,MONTCLARE,2.0
19,BELMONT CRAGIN,15.0
20,HERMOSA,2.0
21,AVONDALE,3.0
22,LOGAN SQUARE,18.0
23,HUMBOLDT PARK,14.0
24,WEST TOWN,16.0
25,AUSTIN,13.0
26,WEST GARFIELD PARK,3.0
27,EAST GARFIELD PARK,0.0
28,NEAR WEST SIDE,23.0
29,NORTH LAWNDALE,2.0
30,SOUTH LAWNDALE,6.0
31,LOWER WEST SIDE,25.0
32,LOOP,29.0
33,NEAR SOUTH SIDE,2.0
34,ARMOUR SQUARE,7.0
35,DOUGLAS,1.0
36,OAKLAND,0.0
37,FULLER PARK,3.0
38,GRAND BOULEVARD,2.0
39,KENWOOD,1.0
40,WASHINGTON PARK,0.0
41,HYDE PARK,1.0
42,WOODLAWN,2.0
43,SOUTH SHORE,1.0
44,CHATHAM,4.0
45,AVALON PARK,4.0
46,SOUTH CHICAGO,2.0
47,BURNSIDE,0.0
48,CALUMET HEIGHTS,0.0
49,ROSELAND,0.0
50,PULLMAN,0.0
51,SOUTH DEERING,2.0
52,EAST SIDE,3.0
53,WEST PULLMAN,1.0
54,RIVERDALE,0.0
55,HEGEWISCH,3.0
56,GARFIELD RIDGE,17.0
57,ARCHER HEIGHTS,5.0
58,BRIGHTON PARK,5.0
59,MCKINLEY PARK,2.0
60,BRIDGEPORT,10.0
61,NEW CITY,20.0
62,WEST ELSDON,1.0
63,GAGE PARK,9.0
64,CLEARING,11.0
65,WEST LAWN,3.0
66,CHICAGO LAWN,9.0
67,WEST ENGLEWOOD,3.0
68,ENGLEWOOD,4.0
69,GREATER GRAND CROSSING,6.0
70,ASHBURN,3.0
71,AUBURN GRESHAM,3.0
72,BEVERLY,3.0
73,WASHINGTON HEIGHTS,4.0
74,MOUNT GREENWOOD,1.0
75,MORGAN PARK,3.0
76,OHARE,10.0
77,EDGEWATER,14.0
