ca_num,ca_name,school_count
1,ROGERS PARK,7
2,WEST RIDGE,10
3,UPTOWN,7
4,LINCOLN SQUARE,5
5,NORTH CENTER,7
6,LAKE VIEW,10
7,LINCOLN PARK,7
8,NEAR NORTH SIDE,9
9,EDISON PARK,3
10,NORWOOD PARK,8
11,JEFFERSON PARK,2
12,FOREST GLEN,3
13,NORTH PARK,6
14,ALBANY PARK,9
15,PORTAGE PARK,7
16,IRVING PARK,11
17,DUNNING,6
18,MONTCLARE,1
19,BELMONT CRAGIN,16
20,HERMOSA,5
21,AVONDALE,9
22,LOGAN SQUARE,12
23,HUMBOLDT PARK,17
24,WEST TOWN,24
25,AUSTIN,24
26,WEST GARFIELD PARK,6
27,EAST GARFIELD PARK,14
28,NEAR WEST SIDE,24
29,NORTH LAWNDALE,21
30,SOUTH LAWNDALE,24
31,LOWER WEST SIDE,15
32,LOOP,3
33,NEAR SOUTH SIDE,4
34,ARMOUR SQUARE,3
35,DOUGLAS,12
36,OAKLAND,2
37,FULLER PARK,1
38,GRAND BOULEVARD,7
39,KENWOOD,7
40,WASHINGTON PARK,6
41,HYDE PARK,4
42,WOODLAWN,7
43,SOUTH SHORE,11
44,CHATHAM,10
45,AVALON PARK,5
46,SOUTH CHICAGO,11
47,BURNSIDE,1
48,CALUMET HEIGHTS,5
49,ROSELAND,13
50,PULLMAN,7
51,SOUTH DEERING,3
52,EAST SIDE,6
53,WEST PULLMAN,9
54,RIVERDALE,5
55,HEGEWISCH,2
56,GARFIELD RIDGE,6
57,ARCHER HEIGHTS,6
58,BRIGHTON PARK,13
59,MCKINLEY PARK,5
60,BRIDGEPORT,5
61,NEW CITY,16
62,WEST ELSDON,3
63,GAGE PARK,14
64,CLEARING,4
65,WEST LAWN,5
66,CHICAGO LAWN,10
67,WEST ENGLEWOOD,12
68,ENGLEWOOD,17
69,GREATER GRAND CROSSING,11
70,ASHBURN,11
71,AUBURN GRESHAM,15
72,BEVERLY,4
73,WASHINGTON HEIGHTS,12
74,MOUNT GREENWOOD,4
75,MORGAN PARK,8
76,OHARE,1
77,EDGEWATER,6
