ca_num,ca_name,business_license_count,food_inspections_count,liquor_license_count,building_permits_count,pct_dependents,pct_working_age,per_capita_income,hardship_index
1,ROGERS PARK,2.0,5.0,17.0,9.0,27.5,72.5,23939.0,39.0
2,WEST RIDGE,16.0,11.0,12.0,6.0,38.5,61.5,23040.0,46.0
3,UPTOWN,6.0,9.0,15.0,14.0,22.2,77.8,35787.0,20.0
4,LINCOLN SQUARE,11.0,17.0,15.0,13.0,25.5,74.5,37524.0,17.0
5,NORTH CENTER,4.0,7.0,22.0,18.0,26.2,73.8,57123.0,6.0
6,LAKE VIEW,9.0,23.0,63.0,48.0,17.0,83.0,60058.0,5.0
7,LINCOLN PARK,7.0,41.0,50.0,38.0,21.5,78.5,71551.0,2.0
8,NEAR NORTH SIDE,33.0,78.0,144.0,111.0,22.6,77.4,88669.0,1.0
9,EDISON PARK,2.0,4.0,2.0,2.0,35.3,64.7,40959.0,8.0
10,NORWOOD PARK,3.0,2.0,7.0,9.0,39.5,60.5,32875.0,21.0
11,JEFFERSON PARK,7.0,2.0,10.0,8.0,35.5,64.5,27751.0,25.0
12,FOREST GLEN,2.0,1.0,2.0,7.0,40.5,59.5,44164.0,11.0
13,NORTH PARK,6.0,4.0,0.0,0.0,39.0,61.0,26576.0,33.0
14,ALBANY PARK,10.0,14.0,10.0,10.0,32.0,68.0,21323.0,53.0
15,PORTAGE PARK,13.0,7.0,19.0,19.0,34.0,66.0,24336.0,35.0
16,IRVING PARK,5.0,4.0,15.0,19.0,31.6,68.4,27249.0,34.0
17,DUNNING,2.0,13.0,27.0,9.0,33.6,66.4,26282.0,28.0
18,MONTCLARE,0.0,2.0,2.0,1.0,,,,
19,BELMONT CRAGIN,12.0,36.0,19.0,12.0,37.3,62.7,15461.0,70.0
20,HERMOSA,5.0,14.0,3.0,0.0,36.4,63.6,15089.0,71.0
21,AVONDALE,4.0,5.0,13.0,12.0,31.0,69.0,20039.0,42.0
22,LOGAN SQUARE,42.0,59.0,86.0,34.0,26.2,73.8,31908.0,23.0
23,HUMBOLDT PARK,22.0,17.0,9.0,10.0,38.0,62.0,13781.0,85.0
24,WEST TOWN,27.0,72.0,68.0,66.0,21.7,78.3,43198.0,10.0
25,AUSTIN,18.0,37.0,8.0,18.0,37.9,62.1,15957.0,73.0
26,WEST GARFIELD PARK,2.0,2.0,1.0,2.0,43.6,56.4,10934.0,92.0
27,EAST GARFIELD PARK,2.0,3.0,0.0,6.0,43.2,56.8,12961.0,83.0
28,NEAR WEST SIDE,20.0,40.0,70.0,60.0,22.2,77.8,44689.0,15.0
29,NORTH LAWNDALE,2.0,8.0,2.0,22.0,42.7,57.3,12034.0,87.0
30,SOUTH LAWNDALE,12.0,23.0,6.0,11.0,33.8,66.2,10402.0,96.0
31,LOWER WEST SIDE,13.0,30.0,22.0,13.0,32.6,67.4,16444.0,76.0
32,LOOP,19.0,63.0,69.0,59.0,13.5,86.5,65526.0,3.0
33,NEAR SOUTH SIDE,2.0,14.0,17.0,12.0,21.8,78.2,59077.0,7.0
34,ARMOUR SQUARE,2.0,8.0,11.0,5.0,38.3,61.7,16148.0,82.0
35,DOUGLAS,1.0,7.0,2.0,4.0,30.7,69.3,23791.0,47.0
36,OAKLAND,0.0,0.0,0.0,1.0,40.4,59.6,19252.0,78.0
37,FULLER PARK,2.0,5.0,1.0,1.0,44.9,55.1,10432.0,97.0
38,GRAND BOULEVARD,1.0,6.0,1.0,8.0,39.5,60.5,23472.0,57.0
39,KENWOOD,0.0,3.0,1.0,6.0,35.4,64.6,35911.0,26.0
40,WASHINGTON PARK,0.0,1.0,3.0,5.0,42.8,57.2,13785.0,88.0
41,HYDE PARK,4.0,18.0,12.0,4.0,26.2,73.8,39056.0,14.0
42,WOODLAWN,1.0,19.0,1.0,11.0,36.1,63.9,18672.0,58.0
43,SOUTH SHORE,4.0,16.0,4.0,9.0,35.7,64.3,19398.0,55.0
44,CHATHAM,6.0,11.0,5.0,6.0,40.3,59.7,18881.0,60.0
45,AVALON PARK,2.0,4.0,0.0,2.0,39.3,60.7,24454.0,41.0
46,SOUTH CHICAGO,2.0,12.0,1.0,5.0,41.1,58.9,16579.0,75.0
47,BURNSIDE,0.0,0.0,0.0,1.0,42.7,57.3,12515.0,79.0
48,CALUMET HEIGHTS,0.0,4.0,1.0,4.0,44.0,56.0,28887.0,38.0
49,ROSELAND,2.0,6.0,2.0,8.0,41.2,58.8,17949.0,52.0
50,PULLMAN,1.0,5.0,0.0,0.0,38.6,61.4,20588.0,51.0
51,SOUTH DEERING,4.0,4.0,2.0,7.0,39.5,60.5,14685.0,65.0
52,EAST SIDE,2.0,1.0,2.0,7.0,42.8,57.2,17104.0,64.0
53,WEST PULLMAN,3.0,1.0,2.0,9.0,42.1,57.9,16563.0,62.0
54,RIVERDALE,1.0,0.0,0.0,2.0,51.5,48.5,8201.0,98.0
55,HEGEWISCH,1.0,3.0,4.0,0.0,42.9,57.1,22677.0,44.0
56,GARFIELD RIDGE,5.0,6.0,7.0,18.0,38.1,61.9,26353.0,32.0
57,ARCHER HEIGHTS,2.0,12.0,6.0,2.0,39.2,60.8,16134.0,67.0
58,BRIGHTON PARK,9.0,20.0,3.0,12.0,39.3,60.7,13089.0,84.0
59,MCKINLEY PARK,6.0,1.0,1.0,4.0,35.6,64.4,16954.0,61.0
60,BRIDGEPORT,10.0,13.0,4.0,9.0,31.3,68.7,22694.0,43.0
61,NEW CITY,14.0,15.0,3.0,7.0,38.9,61.1,12765.0,91.0
62,WEST ELSDON,4.0,6.0,3.0,2.0,37.7,62.3,15754.0,69.0
63,GAGE PARK,2.0,25.0,4.0,4.0,38.8,61.2,12171.0,93.0
64,CLEARING,1.0,5.0,5.0,6.0,37.6,62.4,25113.0,29.0
65,WEST LAWN,6.0,4.0,11.0,2.0,39.6,60.4,16907.0,56.0
66,CHICAGO LAWN,2.0,6.0,11.0,10.0,40.6,59.4,13231.0,80.0
67,WEST ENGLEWOOD,3.0,3.0,3.0,15.0,40.7,59.3,11317.0,89.0
68,ENGLEWOOD,1.0,2.0,1.0,14.0,42.5,57.5,11888.0,94.0
69,GREATER GRAND CROSSING,5.0,15.0,5.0,10.0,41.0,59.0,17285.0,66.0
70,ASHBURN,11.0,6.0,7.0,10.0,36.9,63.1,23482.0,37.0
71,AUBURN GRESHAM,2.0,14.0,3.0,12.0,41.9,58.1,15528.0,74.0
72,BEVERLY,3.0,8.0,3.0,8.0,40.5,59.5,39523.0,12.0
73,WASHINGTON HEIGHTS,2.0,8.0,2.0,13.0,,,,
74,MOUNT GREENWOOD,3.0,1.0,5.0,3.0,36.8,63.2,34381.0,16.0
75,MORGAN PARK,3.0,5.0,0.0,8.0,40.3,59.7,27149.0,30.0
76,OHARE,9.0,11.0,4.0,2.0,,,,
77,EDGEWATER,7.0,7.0,17.0,23.0,23.8,76.2,33385.0,19.0
