ca_num,ca_name,business_license_count,food_inspections_count,liquor_license_count,building_permits_count,pct_dependents,pct_working_age,per_capita_income,hardship_index,scaled_business_license_count,scaled_food_inspections_count,scaled_liquor_license_count,scaled_building_permits_count,saturation_index
8,NEAR NORTH SIDE,33.0,78.0,144.0,111.0,22.6,77.4,88669.0,1.0,0.7857142857142857,1.0,1.0,1.0,0.9464285714285714
22,LOGAN SQUARE,42.0,59.0,86.0,34.0,26.2,73.8,31908.0,23.0,1.0,0.7564102564102564,0.5972222222222222,0.3063063063063063,0.6795304920304921
24,WEST TOWN,27.0,72.0,68.0,66.0,21.7,78.3,43198.0,10.0,0.6428571428571428,0.923076923076923,0.4722222222222222,0.5945945945945946,0.652069102069102
32,LOOP,19.0,63.0,69.0,59.0,13.5,86.5,65526.0,3.0,0.45238095238095233,0.8076923076923077,0.47916666666666663,0.5315315315315315,0.5650746213246213
28,NEAR WEST SIDE,20.0,40.0,70.0,60.0,22.2,77.8,44689.0,15.0,0.47619047619047616,0.5128205128205128,0.4861111111111111,0.5405405405405406,0.5011941886941886
7,LINCOLN PARK,7.0,41.0,50.0,38.0,21.5,78.5,71551.0,2.0,0.16666666666666666,0.5256410256410257,0.3472222222222222,0.34234234234234234,0.34571205821205825
6,LAKE VIEW,9.0,23.0,63.0,48.0,17.0,83.0,60058.0,5.0,0.21428571428571427,0.2948717948717949,0.4375,0.43243243243243246,0.34502586377586375
25,AUSTIN,18.0,37.0,8.0,18.0,37.9,62.1,15957.0,73.0,0.42857142857142855,0.47435897435897434,0.05555555555555555,0.16216216216216217,0.2748316998316998
19,BELMONT CRAGIN,12.0,36.0,19.0,12.0,37.3,62.7,15461.0,70.0,0.2857142857142857,0.4615384615384615,0.13194444444444445,0.10810810810810811,0.24801814176814177
31,LOWER WEST SIDE,13.0,30.0,22.0,13.0,32.6,67.4,16444.0,76.0,0.30952380952380953,0.3846153846153846,0.15277777777777776,0.11711711711711711,0.2427915552915553
23,HUMBOLDT PARK,22.0,17.0,9.0,10.0,38.0,62.0,13781.0,85.0,0.5238095238095237,0.21794871794871795,0.0625,0.09009009009009009,0.22220757845757844
30,SOUTH LAWNDALE,12.0,23.0,6.0,11.0,33.8,66.2,10402.0,96.0,0.2857142857142857,0.2948717948717949,0.041666666666666664,0.0990990990990991,0.17746633996633995
4,LINCOLN SQUARE,11.0,17.0,15.0,13.0,25.5,74.5,37524.0,17.0,0.26190476190476186,0.21794871794871795,0.10416666666666666,0.11711711711711711,0.1746367933867934
15,PORTAGE PARK,13.0,7.0,19.0,19.0,34.0,66.0,24336.0,35.0,0.30952380952380953,0.08974358974358974,0.13194444444444445,0.17117117117117117,0.1736344173844174
2,WEST RIDGE,16.0,11.0,12.0,6.0,38.5,61.5,23040.0,46.0,0.38095238095238093,0.14102564102564102,0.08333333333333333,0.05405405405405406,0.16630531630531628
61,NEW CITY,14.0,15.0,3.0,7.0,38.9,61.1,12765.0,91.0,0.3333333333333333,0.1923076923076923,0.020833333333333332,0.06306306306306306,0.15027286902286902
58,BRIGHTON PARK,9.0,20.0,3.0,12.0,39.3,60.7,13089.0,84.0,0.21428571428571427,0.2564102564102564,0.020833333333333332,0.10810810810810811,0.1455456142956143
14,ALBANY PARK,10.0,14.0,10.0,10.0,32.0,68.0,21323.0,53.0,0.23809523809523808,0.1794871794871795,0.06944444444444445,0.09009009009009009,0.14324695574695576
77,EDGEWATER,7.0,7.0,17.0,23.0,23.8,76.2,33385.0,19.0,0.16666666666666666,0.08974358974358974,0.11805555555555555,0.2072072072072072,0.1409606722106722
17,DUNNING,2.0,13.0,27.0,9.0,33.6,66.4,26282.0,28.0,0.047619047619047616,0.16666666666666666,0.1875,0.08108108108108109,0.1260376447876448
60,BRIDGEPORT,10.0,13.0,4.0,9.0,31.3,68.7,22694.0,43.0,0.23809523809523808,0.16666666666666666,0.027777777777777776,0.08108108108108109,0.12574002574002574
5,NORTH CENTER,4.0,7.0,22.0,18.0,26.2,73.8,57123.0,6.0,0.09523809523809523,0.08974358974358974,0.15277777777777776,0.16216216216216217,0.12451118701118702
3,UPTOWN,6.0,9.0,15.0,14.0,22.2,77.8,35787.0,20.0,0.14285714285714285,0.11538461538461538,0.10416666666666666,0.12612612612612611,0.12103566478566477
70,ASHBURN,11.0,6.0,7.0,10.0,36.9,63.1,23482.0,37.0,0.26190476190476186,0.07692307692307693,0.048611111111111105,0.09009009009009009,0.11730831105831104
33,NEAR SOUTH SIDE,2.0,14.0,17.0,12.0,21.8,78.2,59077.0,7.0,0.047619047619047616,0.1794871794871795,0.11805555555555555,0.10810810810810811,0.11381484506484507
41,HYDE PARK,4.0,18.0,12.0,4.0,26.2,73.8,39056.0,14.0,0.09523809523809523,0.23076923076923075,0.08333333333333333,0.036036036036036036,0.11370903870903869
16,IRVING PARK,5.0,4.0,15.0,19.0,31.6,68.4,27249.0,34.0,0.11904761904761904,0.05128205128205128,0.10416666666666666,0.17117117117117117,0.10806665181665182
63,GAGE PARK,2.0,25.0,4.0,4.0,38.8,61.2,12171.0,93.0,0.047619047619047616,0.3205128205128205,0.027777777777777776,0.036036036036036036,0.10757350757350756
69,GREATER GRAND CROSSING,5.0,15.0,5.0,10.0,41.0,59.0,17285.0,66.0,0.11904761904761904,0.1923076923076923,0.034722222222222224,0.09009009009009009,0.10627351252351253
